,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meds,ws,timestamp
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,,,
0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.511999999999944,62,34178,215000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 0.5)",Jun-24-2021_1504
1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.712,115,60214,450000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 1.0)",Jun-24-2021_1504
2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.26400000000001,54,37236,535000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 2.0)",Jun-24-2021_1504
3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.252,7.942,902.446636,149.05999999999995,72,59568,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 3.0)",Jun-24-2021_1504
4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.18399999999997,49,82778,365000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 0.5)",Jun-24-2021_1504
5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.03200000000004,62,72273,365000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 1.0)",Jun-24-2021_1504
6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.84,25.69,573.2458999999999,99.10400000000004,78,45318,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 2.0)",Jun-24-2021_1504
7,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.65200000000004,63,65303,685000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 3.0)",Jun-24-2021_1504
8,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,104.252,104.25199999999995,68,20224,355000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 0.5)",Jun-24-2021_1504
