,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0. 500.]",0.0,30,0,50000,Aug-18-2021_1616
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263158082962036,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  0.  1.  1.  1.  1.  1.  1.  1.  3.  5.  4.  7.  3.  8. 12. 12. 12.
  9. 12. 13.  9. 12. 16. 17. 15. 16. 14. 22. 16. 26. 21. 19. 14. 18.  9.
 12. 19. 14.  9. 10.  9. 11.  9.  6.  9.  3.  5.  2.  4.  3.  1.  1.  3.
  1.  5.  2.  1.  4.  2.  3.  0.  0.  0.  0.  0.  0.  1.]",128.07999999999993,67,19820,70000,Aug-18-2021_1616
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526316165924072,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 202.  16.   0.   1.   1.   5.   4.   1.   4.   1.   1.   4.   2.
   5.   2.   2.   1.   3.   2.   4.   1.   4.  10.   3.   2.   3.   5.
   2.   2.   3.   2.   4.   5.   2.   2.   3.   4.   3.   0.   4.   4.
   3.   2.   1.   2.   5.   3.   2.   3.   3.   2.   6.   5.   0.   4.
   2.   7.   7.   1.   1.   3.   3.   2.   6.   2.   2.   2.   3.   4.
   1.   4.   3.   4.   1.   5.   3.   7.   2.   2.   1.   4.   4.   2.
   1.   3.   4.   0.   4.   3.   1.   0.   0.   1.   1.   2.   2.   1.
   1.   1.   1.   4.   0.   0.   1.   3.   1.   1.   1.   1.   0.   0.
   0.   1.   0.   0.   0.   0.   0.   1.   0.   1.   0.   1.]",1099.82,123,90388,245000,Aug-18-2021_1616
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789474248886108,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 239.  33.   3.   3.   1.   0.   1.   0.   0.   2.   0.   0.   1.
   0.   2.   0.   3.   0.   2.   2.   2.   0.   0.   0.   1.   0.   2.
   2.   4.   3.   5.   2.   5.   2.   1.   0.   2.   1.   3.   3.   1.
   0.   0.   1.   5.   4.   0.   3.   1.   1.   3.   1.   4.   3.   4.
   4.   2.   2.   3.   1.   6.   4.   0.   3.   6.   0.   1.   3.   2.
   3.   1.   4.   1.   2.   4.   0.   3.   3.   2.   2.   4.   3.   3.
   0.   4.   1.   4.   3.   1.   1.   1.   0.   4.   4.   0.   2.   6.
   2.   3.   1.   2.   1.   1.   1.   1.   2.   2.   1.   4.   2.   3.
   2.   0.   1.   3.   1.   0.   1.   0.   0.   0.   1.   0.   0.   0.
   1.]",1406.864,126,131644,335000,Aug-18-2021_1617
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052632331848145,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,480.196,"[ 0. 24.  6.  4.  7.  9. 10.  9. 15.  9.  7.  8. 12. 10.  8.  4.  7.  8.
 11. 18. 10.  7. 10.  9. 10. 10.  4.  5. 11. 13. 11. 12.  9.  7.  9.  5.
  7.  7.  7.  9.  9.  6.  6.  7.  7.  5.  6.  4.  5.  6.  6.  4.  3.  1.
  5.  6.  3.  6.  4.  1.  1.  2.  0.  1.  1.  3.  1.  4.  2.  1.  1.  1.
  1.  1.  1.  1.  0.  0.  1.  2.  1.  0.  1.  0.  0.  2.  2.  0.  1.  1.
  1.  3.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.]",480.1959999999999,151,58865,465000,Aug-18-2021_1617
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789222717285,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 253.  26.   3.   1.   0.   3.   1.   1.   2.   1.   1.   1.   2.
   2.   1.   2.   1.   2.   0.   1.   0.   3.   0.   1.   3.   3.   2.
   0.   1.   0.   0.   2.   0.   0.   0.   2.   0.   0.   3.   1.   1.
   1.   2.   1.   1.   0.   5.   3.   1.   2.   1.   4.   5.   1.   0.
   2.   3.   6.   1.   3.   3.   4.   1.   0.   3.   2.   4.   4.   2.
   1.   0.   3.   1.   1.   1.   3.   3.   3.   5.   4.   0.   2.   3.
   3.   2.   2.   3.   5.   9.   3.   1.   5.   2.   4.   1.   1.   2.
   4.   2.   1.   2.   1.   1.   2.   1.   1.   1.   3.   2.   3.   2.
   2.   2.   2.   0.   0.   1.   0.   0.   2.   0.   0.   0.   0.   0.
   0.   1.]",1473.5639999999999,127,155151,465000,Aug-18-2021_1617
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578948497772217,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,3.504,220.10998400000003,"[  0. 228.  38.   8.   1.   1.   3.   0.   6.   1.   3.   2.   2.   0.
   1.   1.   1.   1.   0.   3.   0.   1.   2.   0.   4.   2.   3.   0.
   0.   1.   1.   0.   2.   0.   1.   3.   2.   2.   3.   1.   2.   2.
   0.   2.   3.   4.   1.   1.   2.   4.   0.   1.   4.   2.   3.   1.
   1.   3.   1.   2.   2.   2.   2.   3.   4.   3.   4.   3.   3.   2.
   2.   2.   0.   5.   2.   1.   3.   3.   1.   3.   3.   0.   4.   2.
   0.   3.   1.   2.   3.   2.   4.   3.   3.   4.   3.   2.   3.   3.
   2.   4.   3.   1.   2.   2.   3.   0.   1.   2.   0.   0.   2.   3.
   3.   3.   0.   1.   1.   0.   1.   1.   0.   0.   1.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   2.]",1464.1239999999998,140,178454,499999,Aug-18-2021_1617
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6842105388641357,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,327.164,"[ 0.  0.  3.  2.  6.  4.  7.  5.  9.  7. 11. 12. 14.  8.  7. 16. 14.  9.
 17.  9. 11. 15. 11. 12.  8. 14. 16.  8. 11. 13.  9. 12.  8. 12. 13. 10.
 13.  5.  8.  9. 10.  8.  8.  5.  6.  8.  3.  2.  2.  4.  4.  4.  2.  4.
  3.  1.  3.  2.  3.  0.  4.  4.  2.  3.  3.  1.  1.  2.  2.  1.  0.  1.
  1.  0.  0.  1.  0.  1.  0.  2.  0.  0.  0.  2.  0.  2.  0.  1.  0.  0.
  1.  1.  2.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.]",327.164,102,26647,215000,Aug-18-2021_1617
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210526466369629,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,374.452,"[ 0.  2.  3.  4.  2.  9.  7.  6. 13.  6. 10.  9. 13. 17.  8. 11. 13. 14.
 12. 13. 18. 13. 12.  9. 10. 14.  6. 11. 10.  7. 10. 17. 11.  9. 10. 10.
  9.  4.  5.  6.  6. 10.  3.  8.  4.  3.  3.  3.  4.  5.  3.  6.  5.  6.
  2.  1.  4.  6.  1.  5.  2.  3.  2.  1.  1.  1.  1.  2.  0.  1.  0.  0.
  0.  1.  4.  0.  1.  1.  1.  0.  2.  3.  3.  0.  1.  0.  1.  0.  0.  0.
  1.  2.  0.  0.  0.  0.  0.  3.  1.]",374.452,98,32034,270000,Aug-18-2021_1617
