,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0. 500.]",0.0,30,0,55000,Aug-18-2021_1620
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263158082962036,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0. 25.  1.  3.  3.  1.  3.  6.  4.  5.  8. 10.  3.  3. 14.  8. 13.  6.
 10. 13.  4. 12. 14. 16. 13.  7. 12. 12. 15. 14.  7. 12. 15.  7.  9. 16.
 14.  7.  7.  8. 13. 10. 10.  3.  6.  7.  4.  7. 16.  9.  6.  5.  4.  3.
  2.  3.  1.  6.  2.  4.  2.  1.  2.  1.  2.  1.  1.  1.  1.  0.  1.  0.
  1.  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  1.]",266.212,92,31639,125000,Aug-18-2021_1620
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526316165924072,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 134.  14.   3.   5.   4.   5.   5.   4.   2.   4.   2.   4.   1.
   4.   3.   3.   8.   4.   4.   6.   4.   9.   7.   5.   6.   5.   2.
   6.   5.   5.   4.   7.   8.   7.   8.   2.   2.   5.   3.   5.   5.
   7.   4.   3.   6.   1.   9.   6.   6.   4.   5.   4.   7.   8.   2.
   3.   4.   6.   2.   3.   5.   7.   1.   4.   7.   1.   2.   4.   4.
   2.   4.   2.   1.   1.   4.   3.   0.   0.   1.   3.   1.   2.   1.
   3.   2.   0.   1.   1.   0.   1.   2.   0.   1.   2.   1.   1.   0.
   3.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   1.]",747.288,118,58242,150000,Aug-18-2021_1620
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789474248886108,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 215.  20.  10.   3.   2.   4.   1.   0.   3.   6.   3.   2.   1.
   1.   0.   3.   3.   4.   0.   2.   2.   2.   4.   1.   0.   2.   0.
   4.   0.   2.   2.   4.   2.   5.   1.   3.   2.   4.   4.   1.   0.
   0.   0.   0.   4.   4.   3.   2.   0.   1.   6.   4.   4.   3.   2.
   0.   1.   6.   8.   5.   3.   3.   2.   2.   4.   6.   1.   3.   6.
   1.   3.   5.   2.   3.   3.   2.   2.   1.   2.   2.   2.   2.   2.
   1.   3.   2.   3.   2.   0.   5.   2.   3.   3.   1.   3.   0.   0.
   4.   3.   4.   0.   0.   0.   2.   0.   2.   1.   1.   0.   3.   1.
   2.   0.   0.   0.   1.   0.   1.   0.   0.   0.   0.   0.   1.   1.
   0.   0.   1.   1.]",1268.8319999999999,129,117209,325000,Aug-18-2021_1620
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052632331848145,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,791.352,"[ 0. 69. 15. 14. 13.  6.  9. 10.  5.  5.  7.  3.  7. 11.  7. 12.  6. 10.
  7.  7.  6. 11. 10.  4.  5.  3.  6. 10.  6.  9. 10.  5.  3.  7.  5. 10.
  7.  6.  3.  4.  3.  9.  3.  7.  4.  4.  5.  3.  4.  2.  5.  2.  2.  4.
  1.  5.  2.  2.  4.  2.  1.  3.  3.  2.  3.  2.  2.  1.  3.  2.  3.  0.
  2.  1.  2.  0.  2.  0.  2.  2.  1.  3.  0.  0.  2.  2.  2.  2.  4.  1.
  1.  2.  1.  0.  1.  1.  0.  1.  0.  1.  1.  1.  2.  0.  0.  0.  1.  0.
  1.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  1.]",791.3520000000001,148,84721,475000,Aug-18-2021_1620
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789222717285,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,414.276,"[ 0.  3.  7.  7. 11.  7.  6.  9.  4. 15. 10.  4. 13. 15. 16.  9.  5. 13.
  6.  9.  9. 18. 10. 16. 18. 10. 12. 12.  6.  6.  8.  8.  5.  8. 11. 10.
  6.  9.  7.  7.  5.  9.  3.  7.  7. 11.  3.  7.  1.  4.  4.  3.  5.  7.
  1.  5.  3.  1.  3.  3.  1.  1.  3.  1.  4.  3.  2.  3.  0.  0.  3.  2.
  1.  1.  1.  2.  2.  0.  1.  0.  1.  2.  1.  0.  2.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]",414.27600000000007,136,48089,355000,Aug-18-2021_1621
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578948497772217,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,252.128,"[ 0.  1.  2.  3.  3.  2.  5.  3.  3. 15.  9.  6. 10.  8. 13. 16. 13. 10.
 14. 12. 13. 12. 12. 14. 13.  4. 12. 14.  9. 17. 13. 10.  5. 10. 14. 12.
 11. 10. 12.  5. 10. 10.  6.  8.  9.  5.  7.  9.  6.  2.  3.  4.  3.  3.
  4.  6.  4.  3.  2.  3.  2.  3.  2.  2.  2.  1.  1.  1.  0.  1.  1.  1.
  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.
  0.  0.  1.]",252.12799999999993,92,24374,205000,Aug-18-2021_1621
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6842105388641357,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,217.18,"[ 0.  0.  2.  0.  0.  1.  3.  6.  3.  4.  3.  6. 11. 12. 13. 16. 14.  8.
 11. 14. 18. 14. 15. 16. 12. 16. 11. 13. 25. 21.  8.  9. 15. 11. 10. 12.
 10.  6.  8.  8.  6.  4.  6. 10.  9.  6.  8.  3.  4.  2.  7.  5.  3.  1.
  4.  3.  3.  3.  2.  6.  3.  1.  1.  0.  2.  1.  1.  2.  1.  0.  2.  0.
  0.  0.  0.  0.  1.  0.  2.  0.  1.  1.  0.  1.]",217.18000000000006,83,20226,225000,Aug-18-2021_1621
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210526466369629,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,323.504,"[ 0.  0.  0.  4.  4.  6.  3.  7.  9. 13.  9. 13.  8. 14. 11.  7. 13. 17.
  8.  7. 16.  7. 17. 16. 12. 19.  8. 14.  9. 17. 11.  5. 13.  8. 12.  5.
 10. 10.  9.  8.  7.  2.  9.  7.  4.  4.  8.  1.  3.  2.  6.  5.  2.  3.
  8.  3.  3.  3.  2.  6.  4.  2.  2.  1.  2.  1.  0.  3.  2.  0.  0.  1.
  2.  2.  0.  0.  0.  0.  0.  0.  1.  3.  0.  0.  0.  1.  0.  1.  0.  0.
  0.  2.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  1.]",323.5039999999999,112,27305,180000,Aug-18-2021_1621
