,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0. 500.]",0.0,30,0,60000,Aug-18-2021_1646
1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263158082962036,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  3.  2.  2.  3.  4.
  5.  8.  9. 10. 13. 14. 21. 21. 24. 35. 26. 28. 27. 34. 26. 25. 32. 27.
 29. 16. 12.  8.  6.  7.  1.  8.  3.  0.  3.  2.  1.  1.  0.  0.  0.  1.]",45.063999999999965,53,29008,100000,Aug-18-2021_1646
2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526316165924072,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  1.  1.  2.  3.  3.  4.
  5.  7. 13.  9. 17. 14. 21. 24. 23. 26. 30. 26. 34. 31. 29. 30. 22. 28.
 15. 12. 11.  7. 10. 10. 10.  7.  2.  1.  2.  1.  0.  3.  1.  1.  1.]",49.932000000000016,52,50460,125000,Aug-18-2021_1646
3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789474248886108,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  4.  3.  1.  5.
  6. 13. 11. 24. 19. 16. 16. 26. 32. 22. 17. 32. 25. 24. 22. 17. 17. 23.
 20. 22. 10. 14. 10. 12.  8. 11.  3.  3.  2.  2.  2.  2.  1.  0.  0.  0.
  0.  1.]",56.563999999999965,55,74906,145000,Aug-18-2021_1646
4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052632331848145,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  1.  2.  3.  4.  2.
  3.  9. 17. 15.  9. 22. 28. 23. 25. 26. 21. 24. 33. 21. 34. 33. 18.  8.
 23. 22. 12. 11.  7. 11.  7.  4.  6.  3.  2.  3.  0.  0.  1.  2.  1.  0.
  1.]",52.591999999999985,54,91944,160000,Aug-18-2021_1646
5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789222717285,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2.  2.  1.  2.  7.  5.  4.
  7.  7. 13. 10. 15. 12. 21. 22. 24. 25. 30. 31. 30. 24. 20. 21. 25. 21.
 22. 14. 14. 16. 11.  7.  3.  5.  8.  5.  0.  4.  2.  0.  2.  1.  1.  1.]",59.05200000000002,53,180030,295000,Aug-18-2021_1647
6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578948497772217,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  2.  4.  3.  5.
  6. 10. 14. 13.  9. 19. 23. 20. 27. 20. 33. 20. 23. 26. 36. 25. 32. 21.
 23. 17. 16. 12. 10.  2.  8.  4.  3.  4.  2.  1.  1.  1.  1.  0.  0.  0.
  1.]",49.21199999999999,54,142811,240000,Aug-18-2021_1647
7,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6842105388641357,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  2.  1.  5.  4.  1.
  5.  7. 12. 11. 13. 25. 30. 25. 28. 30. 37. 24. 26. 28. 17. 14. 19. 10.
 18. 19. 17. 17. 12.  8.  6.  7.  2.  5.  1.  4.  2.  1.  1.  0.  1.  2.
  1.]",56.07600000000002,54,280214,400000,Aug-18-2021_1648
8,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210526466369629,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  3.  3.  5.  6.
  5. 13. 17. 14. 15. 14. 20. 19. 17. 27. 24. 25. 26. 25. 28. 19. 33. 27.
 18. 18. 21.  8. 11.  6.  6.  3.  4.  6.  3.  3.  3.  0.  0.  0.  0.  1.]",55.535999999999945,53,151513,225000,Aug-18-2021_1648
