,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0. 500.]",0.0,30,0,35000,Aug-18-2021_1657
1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263158082962036,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  6.  4.
  3.  7. 13.  8. 19. 17. 23. 21. 27. 32. 29. 27. 29. 31. 30. 32. 24. 17.
 22.  7. 10. 11. 12. 10.  5.  6.  2.  4.  3.  2.  0.  1.  0.  1.  1.]",45.539999999999964,52,21332,75000,Aug-18-2021_1657
2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526316165924072,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  2.  1.  3.  4.  2.
  5. 11. 11.  9. 16. 21. 20. 17. 25. 35. 28. 24. 34. 30. 32. 24. 18. 20.
 17. 19. 13. 10.  9.  9.  6.  2.  5.  4.  2.  0.  5.  1.  3.]",50.79200000000003,50,184589,395000,Aug-18-2021_1657
3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789474248886108,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  1.  2.  1.  3.  5.
 11.  7.  8. 15. 18. 18. 22. 32. 23. 25. 19. 21. 23. 20. 38. 24. 27. 25.
 22. 16. 16. 10. 11.  7.  7.  4.  3.  1.  4.  2.  4.  1.  1.]",51.65599999999995,50,76780,155000,Aug-18-2021_1657
4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052632331848145,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  3.  1.  0.  1.  0.  4.  3.  6.
  6.  7. 12. 10. 19. 15. 17. 28. 28. 28. 29. 29. 21. 27. 17. 22. 30. 18.
 18. 23. 17.  7. 13. 11.  5.  4.  7.  5.  1.  4.  0.  0.  0.  2.]",53.86800000000005,51,167984,315000,Aug-18-2021_1658
5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789222717285,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972,29.25,102.0835,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  2.  4.  5.  4.  7.  9.
 16. 14. 19. 11. 16. 19. 23. 17. 13. 27. 22. 21. 28. 16. 21. 21. 17. 14.
 16. 15. 13. 11.  5. 15.  7.  7.  7.  5.  3.  4.  5.  5.  2.  3.  1.  2.
  0.  3.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.]",87.40800000000002,76,69093,499999,Aug-18-2021_1658
6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578948497772217,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,88.38,"[ 0.  1.  0.  0.  1.  0.  0.  1.  1.  2.  1.  0.  2.  4.  4.  6. 10.  6.
 15.  9. 13. 13. 20. 17.  8. 29. 16. 30. 23. 16. 21. 19. 26. 20. 17. 20.
 16. 16.  9. 11. 10. 13.  8.  6.  6.  7.  3.  1.  6.  3.  3.  3.  1.  0.
  2.  0.  1.  0.  2.  0.  0.  1.  1.]",88.38,62,68596,460000,Aug-18-2021_1658
7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6842105388641357,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,108.168,"[ 0.  0.  1.  0.  0.  0.  0.  0.  4.  1.  2.  4.  2.  5.  3.  6.  8.  9.
 14. 15. 17. 16. 14. 17. 21. 17. 22. 16. 25. 18. 23. 24. 17. 12. 11. 23.
 11. 16.  8.  8.  9. 14. 12.  6.  7.  4.  8.  2.  2.  5.  3.  1.  3.  3.
  1.  1.  2.  0.  1.  0.  0.  1.  0.  2.  1.  0.  0.  2.]",108.168,67,59203,325000,Aug-18-2021_1658
8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210526466369629,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,106.216,"[ 0.  0.  1.  0.  0.  0.  1.  0.  1.  2.  3.  1.  3.  8.  6.  4.  8.  9.
 14. 12. 19. 20. 16. 17. 17. 18. 21. 20. 20. 12. 22. 15. 22. 18. 15. 15.
 11. 11. 11. 10. 15. 14.  7.  9.  5.  5.  8.  5.  6.  4.  4.  2.  5.  0.
  2.  1.  0.  1.  0.  1.  0.  1.  1.  0.  0.  1.]",106.21600000000001,65,31196,240000,Aug-18-2021_1659
