,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta,meds,ws,ts
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp,,,
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  2.  3.  4.  5.
  5.  5. 12.  6. 16. 15. 21. 26. 23. 16. 29. 36. 43. 36. 31. 24. 26. 28.
 13. 22. 11.  8. 13.  1.  3.  5.  4.  1.  1.  2.  0.  1.  2.]",40.144,50,8887,55000,Aug-18-2021_2211,"('NO_MED',)","(0.25, 0.0)","(2.0, -1.0)"
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0. 29.  6.  4.  8.  4.  4.  6.  3.  6.  7.  1. 11.  3.  6.  8.  6. 11.
 11.  6. 11. 15. 13. 13.  5. 10. 12. 11. 15. 11. 11. 10.  9.  9.  7. 14.
  8.  6. 16.  7.  9.  9. 11.  8.  9. 10.  7.  6.  4.  7.  4.  3.  8.  5.
  4.  3.  6.  4.  3.  1.  2.  2.  0.  2.  3.  2.  0.  2.  3.  1.  0.  0.
  0.  2.  4.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.]",306.624,89,30500,115000,Aug-18-2021_2211,"('NO_MED',)","(0.454, 0.0)","(2.0, -1.0)"
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 188.  19.   8.   6.   2.   2.   2.   3.   2.   3.   2.   1.   3.
   2.   4.   3.   5.   3.   4.   2.   2.   5.   4.   6.   0.   5.   4.
   2.   4.   2.   3.   2.   3.   2.   3.   4.   4.   1.   2.   4.   6.
   2.   3.   3.   2.   4.   1.   1.   3.   4.   2.   3.   2.   5.   6.
   1.   5.   4.   3.   4.   5.   2.   3.   4.   6.   2.   3.   7.   2.
   1.   2.   3.   4.   0.   3.   3.   2.   2.   1.   2.   1.   2.   4.
   3.   0.   2.   4.   2.   2.   1.   4.   3.   1.   0.   3.   1.   1.
   1.   1.   0.   1.   0.   2.   2.   0.   1.   0.   0.   1.   1.   1.
   1.   1.   0.   2.   1.   0.   0.   0.   0.   0.   0.   0.   1.   0.
   1.   0.   0.   0.   0.   0.   1.]",1116.404,132,79843,230000,Aug-18-2021_2211,"('NO_MED',)","(0.658, 0.0)","(2.0, -1.0)"
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0. 63. 11.  5.  6.  5.  6.  3.  4. 11.  8.  8. 10.  4.  7.  5. 10.  3.
  3.  7.  9.  3. 12.  6. 11.  6.  3.  9. 12. 11.  5.  4. 14.  5.  8.  6.
  8. 10.  7.  6. 10. 11.  9.  6.  7.  5.  6.  4.  8.  4.  3.  4.  4.  1.
  6.  5.  1.  5.  9.  4.  4.  0. 10.  4.  1.  2.  3.  1.  4.  0.  1.  3.
  4.  1.  1.  0.  2.  1.  3.  1.  2.  0.  0.  2.  0.  0.  0.  0.  0.  0.
  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.]",482.516,101,44093,125000,Aug-18-2021_2211,"('NO_MED',)","(0.862, 0.0)","(2.0, -1.0)"
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 207.  21.   5.   4.   3.   4.   2.   2.   1.   1.   3.   4.   2.
   2.   2.   3.   0.   1.   2.   1.   2.   1.   6.   3.   1.   2.   2.
   1.   5.   2.   1.   2.   3.   6.   5.   3.   4.   5.   3.   1.   5.
   1.   4.   0.   4.   3.   4.   5.   2.   3.   2.   3.   5.   5.   2.
   2.   2.   0.   1.   1.   2.   3.   4.   2.   1.   6.   3.   4.   3.
   5.   4.   4.   3.   0.   2.   2.   2.   2.   2.   1.   3.   3.   2.
   2.   2.   4.   2.   1.   3.   4.   0.   3.   1.   4.   3.   2.   2.
   2.   1.   1.   1.   0.   3.   0.   1.   1.   2.   1.   0.   2.   0.
   0.   0.   1.   1.   1.   1.   0.   0.   1.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   1.   0.   0.   0.   1.]",1205.876,135,89296,215000,Aug-18-2021_2211,"('NO_MED',)","(1.066, 0.0)","(2.0, -1.0)"
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 236.  34.   5.   3.   1.   1.   1.   3.   1.   0.   2.   4.   1.
   1.   0.   3.   1.   2.   1.   2.   2.   0.   0.   1.   4.   0.   0.
   0.   0.   3.   3.   1.   2.   3.   0.   2.   0.   2.   1.   1.   4.
   3.   2.   2.   3.   1.   2.   0.   1.   2.   1.   3.   2.   0.   1.
   1.   1.   1.   1.   1.   3.   3.   1.   4.   2.   3.   2.   4.   1.
   3.   5.   1.   1.   4.   1.   8.   1.   2.   4.   3.   3.   9.   4.
   2.   1.   5.   4.   1.   6.   4.   3.   3.   3.   1.   2.   1.   1.
   4.   0.   2.   2.   0.   5.   1.   1.   2.   2.   1.   1.   1.   1.
   0.   2.   0.   0.   2.   1.   2.   1.   0.   0.   0.   0.   0.   0.
   0.   1.]",1431.472,127,122538,290000,Aug-18-2021_2211,"('NO_MED',)","(1.27, 0.0)","(2.0, -1.0)"
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 139.  28.   9.   7.   6.   3.   6.   4.   7.   3.   1.   3.  10.
   6.   4.   4.   2.   4.  11.   1.   2.   3.   6.   5.   3.   3.   5.
   2.   5.   7.   3.   4.   3.   3.   2.   4.   3.   2.   1.   1.   2.
   4.   5.   4.   3.   3.   4.   2.   2.   7.   6.   5.   2.   2.   2.
   4.   5.   2.   6.   3.   2.   6.   4.   5.   4.   5.   3.   3.   2.
   6.   5.   3.   1.   1.   3.   3.   1.   2.   2.   3.   1.   2.   1.
   2.   3.   1.   2.   0.   0.   0.   1.   3.   0.   2.   2.   0.   0.
   2.   1.   2.   0.   0.   1.   2.   1.   0.   1.   2.   1.   0.   0.
   0.   1.   0.   0.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.
   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   1.]",989.308,154,68281,155000,Aug-18-2021_2211,"('NO_MED',)","(1.474, 0.0)","(2.0, -1.0)"
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.679,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.36,28.518,"[  0. 253.  36.   2.   0.   2.   1.   0.   0.   0.   1.   0.   0.   0.
   0.   2.   1.   0.   1.   0.   1.   1.   1.   0.   0.   1.   1.   0.
   2.   1.   0.   3.   4.   0.   1.   0.   3.   1.   0.   1.   4.   2.
   1.   4.   0.   0.   2.   2.   1.   2.   0.   5.   0.   3.   1.   1.
   3.   0.   3.   2.   1.   0.   2.   1.   7.   3.   3.   5.   5.   5.
   4.   3.   3.   3.   5.   4.   2.   0.   3.   5.   3.   4.   2.   4.
   4.   1.   5.   2.   1.   2.   3.   4.   3.   1.   2.   4.   2.   1.
   3.   0.   1.   2.   0.   3.   2.   3.   4.   1.   2.   3.   0.   0.
   1.   0.   0.   0.   2.   0.   1.   0.   1.   0.   0.   0.   0.   1.
   0.   0.   1.   0.   0.   0.   0.   0.   0.   1.]",1452.18,135,161316,499999,Aug-18-2021_2212,"('NO_MED',)","(1.679, 0.0)","(2.0, -1.0)"
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,173.336,"[ 0.  0.  1.  1.  1.  2.  5.  4.  0.  5. 12.  3.  5.  6.  1.  9.  9.  8.
 18.  6. 23. 16.  8. 17. 19. 25. 16. 10. 13. 24. 23. 13. 20. 14.  9.  9.
 11. 10.  8. 11.  9.  4.  8.  7. 10.  7.  3.  3.  6.  5.  3.  6.  2.  4.
  3.  2.  5.  0.  4.  5.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  2.  1.  1.  0.  1.  0.  0.  0.  0.  1.]",173.336,81,23148,175000,Aug-18-2021_2212,"('NO_MED',)","(1.883, 0.0)","(2.0, -1.0)"
