,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta,meds,ws,ts
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp,,,
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  3.  0.  0.  0.  2.  3.  1.  1.  5.  3.  4.  4.  8.  3.  7.  4. 13.
 13. 19. 10. 13. 10. 19. 18.  9. 14. 22. 18. 18. 11. 19. 24. 23. 19. 14.
 15. 13. 12.  9.  9. 11.  9. 10.  9.  9.  9.  4.  7.  1.  3.  2.  4.  2.
  1.  0.  1.  0.  2.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  1.  0.  0.
  0.  0.  0.  0.  1.]",124.556,76,20079,120000,Aug-19-2021_1505,"('NO_MED',)","(0.25, 0.0)","(2.0, -1.0)"
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  1.  0.  0.  0.  2.  1.  0.  2.  2.  1.  3.  3.  3.  7.  7.  8.  9.
 13. 15. 13. 15.  8. 15. 15. 20. 21. 23. 20. 18. 20. 14. 21. 30. 18. 13.
 18. 18. 15. 11.  9.  7. 10.  4.  3. 10.  7.  5.  1.  6.  2.  1.  1.  1.
  1.  1.  4.  1.  1.  0.  0.  1.  1.]",99.744,62,16408,65000,Aug-19-2021_1505,"('NO_MED',)","(0.454, 0.0)","(2.0, -1.0)"
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0. 60. 13.  5.  3.  9.  2.  4.  7.  6.  3.  6.  9. 11. 12.  4.  4.  6.
 13.  7.  8.  8.  9.  7.  5.  3.  9.  5.  7.  9. 13. 10. 13.  6.  5.  7.
  6.  7.  9.  9.  9.  8.  7.  7.  5.  7.  6.  4.  1.  4.  8.  4.  4.  4.
  6.  7.  3.  5.  4.  1.  6.  6.  3.  2.  1.  7.  3.  2.  3.  3.  1.  0.
  3.  2.  1.  1.  0.  0.  3.  1.  1.  1.  0.  1.  1.  2.  0.  0.  1.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]",474.076,107,42049,140000,Aug-19-2021_1505,"('NO_MED',)","(0.658, 0.0)","(2.0, -1.0)"
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 151.  35.  10.   4.   1.   2.   6.   3.   6.   3.   2.   1.   6.
   1.   9.   3.   4.   6.   4.   3.   2.   5.   3.   5.   3.   3.   4.
   7.   6.   2.   2.   5.   5.   4.   0.   6.   6.   1.   2.   6.   1.
   2.   4.   4.   2.   2.   2.   2.   4.   4.   2.   3.   2.   3.   6.
   5.   4.   1.   3.   0.   2.   3.   4.   3.   6.   6.   2.   4.   1.
   3.   4.   2.   1.   2.   0.   2.   1.   2.   7.   3.   2.   2.   3.
   1.   1.   1.   1.   3.   1.   4.   2.   0.   0.   2.   5.   2.   2.
   0.   1.   1.   2.   1.   0.   1.   0.   0.   1.   0.   2.   0.   1.
   1.   1.   3.   1.   0.   0.   0.   0.   1.]",1048.128,120,75451,195000,Aug-19-2021_1505,"('NO_MED',)","(0.862, 0.0)","(2.0, -1.0)"
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 126.   9.   9.   6.   6.   1.   7.   3.   8.   3.   3.   1.   8.
   4.   6.   8.   3.   6.   9.   2.   7.   3.   2.   4.   5.   5.   8.
   3.   5.   8.   2.   3.   8.   5.   8.   5.   5.  10.   7.   5.  10.
   4.   3.   3.   9.   3.   5.   4.   2.   2.   3.   6.   2.   2.   5.
   7.   3.   3.   5.   2.   4.   4.   6.   2.   4.   3.   3.   4.   0.
   2.   1.   1.   3.   0.   1.   4.   4.   2.   2.   2.   3.   1.   2.
   0.   1.   2.   2.   2.   0.   1.   2.   1.   1.   0.   0.   1.   0.
   1.   1.   0.   2.   0.   0.   1.   0.   1.   0.   1.   0.   0.   0.
   0.   1.   0.   2.]",776.244,115,69812,195000,Aug-19-2021_1505,"('NO_MED',)","(1.066, 0.0)","(2.0, -1.0)"
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 156.   8.   6.   5.   8.   5.   4.   5.   4.   3.   4.   2.   3.
   7.   3.   4.   5.   6.   5.   3.   7.   4.   4.   3.   2.   2.   4.
   3.   7.   5.   5.   5.   4.   6.   4.   1.   4.   9.   3.   3.   3.
   4.   3.   2.   7.   4.   6.   3.   2.   4.   9.   6.   5.   3.   6.
   4.   2.   3.   3.   4.   2.   1.   3.   2.   3.   4.   1.   3.   1.
   2.   3.   1.   3.   2.   1.   4.   3.   2.   3.   1.   1.   0.   2.
   3.   2.   1.   2.   3.   0.   2.   1.   2.   3.   2.   1.   0.   1.
   0.   3.   1.   1.   1.   0.   1.   0.   0.   1.   0.   0.   1.   0.
   0.   1.   1.   0.   0.   0.   0.   1.   0.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   1.   0.   0.   0.   1.]",947.212,135,67687,160000,Aug-19-2021_1505,"('NO_MED',)","(1.27, 0.0)","(2.0, -1.0)"
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 181.  18.   7.   6.   3.   4.   3.   0.   3.   0.   3.   4.   4.
   3.   3.   8.   2.   5.   3.   5.   1.   2.   1.   2.   3.   3.   5.
   3.   1.   5.   4.   4.   7.   4.   8.   3.   3.   2.   5.   2.   4.
   1.   5.   1.   2.   3.   3.   4.   5.   4.   5.   3.   2.   2.   2.
   2.   3.   2.   3.   5.   4.   3.   2.   5.   3.   2.   2.   5.   1.
   4.   2.   5.   3.   1.   0.   1.   4.   1.   1.   4.   1.   4.   2.
   3.   2.   1.   0.   4.   2.   1.   0.   3.   3.   3.   1.   2.   1.
   0.   0.   5.   1.   2.   0.   1.   0.   1.   0.   0.   2.   1.   0.
   1.   0.   0.   0.   1.   0.   2.   0.   0.   2.   0.   0.   0.   0.
   0.   0.   0.   1.]",1090.184,129,81925,235000,Aug-19-2021_1505,"('NO_MED',)","(1.474, 0.0)","(2.0, -1.0)"
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.679,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,12.978,458.386,"[ 0. 58. 14.  9.  4.  6.  5.  8. 13.  3.  8.  8.  9.  9.  6. 13.  7.  7.
 13.  3.  8.  9.  6. 10.  8.  7.  7.  2.  4.  8.  4. 11.  6. 12. 10.  4.
  7. 11. 10.  3. 14.  5.  6.  6.  5.  7.  4.  1.  6.  4.  1.  3.  4.  2.
  5.  2.  5.  0.  1.  2.  3.  1.  3.  3.  1.  2.  3.  4.  2.  4.  2.  3.
  1.  3.  3.  3.  2.  1.  1.  1.  0.  4.  0.  2.  0.  1.  0.  0.  1.  1.
  0.  0.  0.  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  2.  0.  1.  0.  0.
  0.  1.  0.  0.  1.  0.  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
  1.]",618.424,126,85814,499999,Aug-19-2021_1506,"('NO_MED',)","(1.679, 0.0)","(2.0, -1.0)"
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 238.  18.   2.   2.   2.   2.   1.   1.   3.   4.   1.   0.   0.
   1.   2.   1.   1.   0.   4.   4.   2.   1.   2.   0.   1.   4.   2.
   0.   2.   1.   3.   1.   1.   0.   1.   5.   3.   3.   4.   3.   3.
   3.   2.   2.   1.   4.   4.   3.   0.   1.   4.   4.   2.   2.   4.
   0.   2.   2.   4.   2.   0.   4.   2.   3.   2.   5.   3.   4.   2.
   0.   2.   5.   3.   2.   6.   4.   6.   2.   0.   2.   1.   2.   2.
   3.   3.   3.   3.   2.   2.   3.   2.   1.   5.   3.   2.   3.   0.
   1.   3.   0.   2.   2.   2.   3.   0.   0.   1.   1.   3.   0.   0.
   1.   2.   0.   0.   3.   0.   0.   0.   0.   1.   0.   0.   0.   1.
   2.]",1323.132,126,112230,280000,Aug-19-2021_1506,"('NO_MED',)","(1.883, 0.0)","(2.0, -1.0)"
