,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.947,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.571,17.336,285.469104,"[ 0.  3.  0.  0.  1.  3.  1.  0.  2.  3.  6. 10.  5. 10.  9. 17. 20. 34.
 23. 18. 34. 28. 43. 32. 36. 36. 35. 37. 32. 43. 29. 36. 31. 29. 26. 29.
 29. 26. 20. 25. 22. 24. 14. 20. 14. 12. 12. 11. 15.  9.  7.  5.  7.  5.
  5.  6.  1.  1.  4.  1.  0.  1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.]",118.30600000000004,72,2424777,9999999,Aug-20-2021_1653
1,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.529,0.0,0.0,0.0,0.0,0.008,0.245,0.015,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0. 89. 16. 12. 12. 10. 12. 14. 14. 22. 19. 16. 15. 12. 20. 22. 22. 17.
 18. 14. 18. 16. 23. 20. 18. 32. 11. 13. 21. 20. 18. 19. 10. 11. 13. 11.
 16. 10. 12. 11.  9.  8. 10. 12. 14. 19. 11. 10.  6. 12.  6. 12.  5.  5.
  7.  4.  6. 10.  9.  6.  2.  8.  8.  7.  7.  8.  4.  4.  5.  8.  4.  4.
  1.  3.  2.  5.  3.  1.  3.  3.  1.  1.  1.  6.  2.  2.  2.  3.  0.  2.
  2.  1.  2.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.]",504.10799999999995,133,114743,295000,Aug-20-2021_1654
2,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.644,0.0,0.356,0.0,0.0,0.0,0.0,0.0,0.553,17.278,275.000716,"[ 0.  1.  0.  1.  0.  0.  1.  3.  4.  9.  5.  3.  7. 20. 15. 11. 16. 19.
 22. 32. 24. 25. 35. 44. 38. 36. 29. 36. 41. 38. 42. 37. 29. 32. 24. 32.
 32. 25. 21. 16. 25. 24. 24. 19. 13.  7.  9.  6. 12.  8.  9.  6.  2.  3.
  4.  2.  1.  4.  2.  0.  2.  3.  1.  1.  2.  2.  0.  0.  0.  2.  1.  1.]",121.596,71,2626479,9999999,Aug-20-2021_1700
3,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,18.674,281.453724,"[ 0.  1.  0.  0.  0.  2.  2.  4.  2.  2.  9.  7.  9. 10. 10. 12. 23. 18.
 27. 25. 32. 34. 28. 39. 33. 29. 35. 35. 30. 41. 38. 32. 35. 42. 36. 36.
 26. 24. 27. 23. 18. 20. 17. 25. 11. 10. 15.  9.  9.  7.  7.  6.  4.  5.
  4.  3.  1.  1.  2.  3.  1.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.]",114.40599999999995,78,1713842,9999999,Aug-20-2021_1706
4,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746,22.658,228.41703600000002,"[ 0.  1.  0.  0.  0.  0.  2.  3.  7.  3.  1.  4. 14. 15.  9. 15. 16. 15.
 26. 29. 24. 28. 27. 32. 43. 39. 47. 31. 40. 40. 39. 39. 40. 36. 29. 29.
 33. 21. 21. 23. 16. 21. 13. 17. 15. 13.  8. 18.  5.  8.  9.  6.  6.  3.
  3.  0.  6.  4.  1.  1.  1.  1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.]",111.93600000000004,80,2117263,9999999,Aug-20-2021_1712
5,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449,14.071,296.101959,"[ 0.  1.  0.  1.  0.  2.  1.  5.  4.  4.  9. 11. 10. 15. 20. 13. 22. 26.
 21. 24. 33. 35. 36. 37. 33. 36. 31. 29. 30. 36. 39. 24. 30. 30. 28. 25.
 25. 22. 14. 20. 24. 18. 22. 14. 14. 11. 11. 17.  9. 10.  9. 10.  9.  7.
  9.  3.  2.  2.  1.  1.  2.  1.  3.  1.  2.  0.  2.  0.  1.  0.  1.  1.
  0.  0.  1.]",142.43599999999992,74,2220032,9999999,Aug-20-2021_1718
6,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.004,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,12.315,289.18577500000004,"[ 0.  7.  2.  1.  0.  0.  5.  5.  1.  4.  8. 13.  7. 10. 18. 22. 21. 20.
 20. 24. 34. 20. 20. 31. 29. 28. 43. 35. 43. 40. 38. 36. 28. 32. 26. 28.
 29. 24. 22. 33. 24. 16. 16. 16. 14. 12.  6. 14. 10.  8. 11.  5.  5.  5.
  5.  2.  4.  4.  3.  2.  1.  0.  0.  1.  1.  1.  0.  0.  1.  2.  0.  1.
  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.]",141.02199999999993,96,1941439,9999999,Aug-20-2021_1724
7,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,20.551,246.04139899999998,"[ 0.  1.  0.  0.  0.  0.  0.  1.  0.  2.  3.  3.  6.  8. 10.  8. 21. 18.
 23. 33. 30. 41. 30. 34. 30. 39. 46. 36. 38. 44. 45. 33. 44. 44. 24. 41.
 28. 20. 35. 29. 18. 17. 16. 12. 11. 17.  5.  9.  9.  8.  0.  6.  3.  4.
  2.  3.  3.  0.  3.  0.  2.  1.  0.  1.  1.  1.]",93.13,65,1974787,9999999,Aug-20-2021_1729
8,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1000,10000000,0.004999999888241291,30,True,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.877,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.606,18.487,277.30983100000003,"[ 0.  1.  1.  0.  1.  1.  3.  1.  6.  2.  3.  6.  7. 16. 15. 13. 20. 20.
 16. 26. 31. 25. 33. 46. 35. 38. 37. 35. 27. 37. 33. 47. 32. 40. 41. 25.
 25. 26. 29. 21. 16. 11. 20. 20. 22.  9. 15.  4.  8.  4.  5.  7.  8.  4.
  4.  6.  5.  1.  3.  0.  1.  0.  2.  0.  1.  0.  0.  2.  1.]",115.47799999999995,68,2278411,9999999,Aug-20-2021_1735
