,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta,meds,ws,ts
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp,,,
0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.416,107,23572,105000,jul-23-2021_0120,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.0)","(-1.0, 2.0)"
1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.666,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.22,128,44222,175000,jul-23-2021_0120,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.01)","(-1.0, 2.0)"
2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.004,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,13.11,274.674,144.42,73,196116,999999,jul-23-2021_0121,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.03)","(-1.0, 2.0)"
3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,13.504,265.598,118.776,67,187013,999999,jul-23-2021_0122,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.1)","(-1.0, 2.0)"
4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.828,62,14983,95000,jul-23-2021_0122,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.5)","(-1.0, 2.0)"
5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.212,143,72787,255000,jul-23-2021_0122,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.0)","(-1.0, 2.0)"
6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.036,0.0,0.0,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,15.168,296.588,160.612,77,185474,999999,jul-23-2021_0122,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.01)","(-1.0, 2.0)"
7,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,20.464,220.685,84.884,62,125441,999999,jul-23-2021_0123,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.03)","(-1.0, 2.0)"
8,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,89.512,89.512,64,134786,940000,jul-23-2021_0123,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.1)","(-1.0, 2.0)"
9,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,16.068,293.251,115.392,63,97153,999999,jul-23-2021_0124,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.5)","(-1.0, 2.0)"
10,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.168,152,70016,380000,jul-23-2021_0124,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.0)","(-1.0, 2.0)"
11,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.032,0.0,0.0,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,29.988,194.028,193.32,75,112757,999999,jul-23-2021_0124,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.01)","(-1.0, 2.0)"
12,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,126.532,126.532,73,92501,790000,jul-23-2021_0125,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.03)","(-1.0, 2.0)"
13,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.53,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,243.692,243.692,86,47711,500000,jul-23-2021_0125,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.1)","(-1.0, 2.0)"
14,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.228,128,107975,690000,jul-23-2021_0125,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.5)","(-1.0, 2.0)"
15,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,564.584,564.584,189,28625,265000,jul-23-2021_0125,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.0)","(-1.0, 2.0)"
16,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.78,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,293.088,293.088,106,17356,175000,jul-23-2021_0125,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.01)","(-1.0, 2.0)"
17,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.418,0.0,0.0,0.0,0.0,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,260.004,260.004,97,22796,270000,jul-23-2021_0125,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.03)","(-1.0, 2.0)"
18,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.38,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,214.676,214.676,135,37934,680000,jul-23-2021_0126,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.1)","(-1.0, 2.0)"
19,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,297.956,297.956,112,19727,255000,jul-23-2021_0126,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.5)","(-1.0, 2.0)"
20,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,28.888,600.671,867.16,143,7957,999999,jul-23-2021_0126,"('NO_MED', 'GOOD_MED_X')","(inf, 0.0)","(-1.0, 2.0)"
21,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.874,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,29.432,832.701,957.396,111,8879,999999,jul-23-2021_0127,"('NO_MED', 'GOOD_MED_X')","(inf, 0.01)","(-1.0, 2.0)"
22,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.88,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534,29.522,726.938,823.06,111,7825,999999,jul-23-2021_0127,"('NO_MED', 'GOOD_MED_X')","(inf, 0.03)","(-1.0, 2.0)"
23,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.956,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,29.476,884.933,999.208,112,9087,999999,jul-23-2021_0127,"('NO_MED', 'GOOD_MED_X')","(inf, 0.1)","(-1.0, 2.0)"
24,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,29.334,814.762,951.748,113,8863,999999,jul-23-2021_0128,"('NO_MED', 'GOOD_MED_X')","(inf, 0.5)","(-1.0, 2.0)"
25,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.752,114,21022,80000,jul-23-2021_0128,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.0)","(-1.0, 2.0)"
26,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.856,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.456,102,22847,90000,jul-23-2021_0128,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.01)","(-1.0, 2.0)"
27,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,10.66,257.168,117.936,68,207468,999999,jul-23-2021_0128,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.03)","(-1.0, 2.0)"
28,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,5.532,190.213,215.956,101,198766,999999,jul-23-2021_0129,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.1)","(-1.0, 2.0)"
29,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.344,93,31348,225000,jul-23-2021_0129,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.5)","(-1.0, 2.0)"
30,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.692,148,43181,135000,jul-23-2021_0129,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.0)","(-1.0, 2.0)"
31,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.058,0.0,0.0,0.0,0.0,0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,9.636,275.44,239.048,88,225504,999999,jul-23-2021_0130,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.01)","(-1.0, 2.0)"
32,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.004,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,29.992,121.868,121.396,85,183970,999999,jul-23-2021_0130,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.03)","(-1.0, 2.0)"
33,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,21.828,268.806,109.752,68,153098,999999,jul-23-2021_0131,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.1)","(-1.0, 2.0)"
34,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,19.638,271.211,119.276,75,108980,999999,jul-23-2021_0131,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.5)","(-1.0, 2.0)"
