,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.182,0.0,0.0,0.0,0.0,0.23,0.188,0.22,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0160000000001,86,141279,560000,jul-08-2021_0311
1,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.158,0.0,0.0,0.0,0.0,0.186,0.212,0.268,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.01199999999994,79,26202,105000,jul-08-2021_0311
2,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.296,0.298,0.192,0.214,0.0,0.0,0.0,0.0,0.074,2.506,298.161964,74.81600000000003,63,264063,999999,jul-08-2021_0311
3,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.664,0.116,0.0,0.22,0.0,0.0,0.0,0.0,0.302,9.666,1036.666444,169.31600000000003,85,229008,999999,jul-08-2021_0312
4,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.5,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.002,0.0,0.0,0.0,0.0,0.054,0.392,0.456,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.79200000000003,67,27188,175000,jul-08-2021_0312
5,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.208,0.0,0.0,0.0,0.0,0.202,0.2,0.194,0.196,0.0,0.0,0.0,0.0,0.14,3.888,401.627456,280.2080000000001,81,341929,999999,jul-08-2021_0313
6,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.268,0.246,0.236,0.0,0.0,0.0,0.0,0.244,7.182,190.35287599999998,48.567999999999984,58,353720,999999,jul-08-2021_0314
7,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.312,0.226,0.204,0.258,0.0,0.0,0.0,0.0,0.312,9.268,212.088176,44.05200000000002,49,347699,999999,jul-08-2021_0314
8,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.004,0.642,0.2,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68799999999999,52,313944,840000,jul-08-2021_0315
