,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.198,0.214,0.204,0.182,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.31999999999994,96,75778,285000,jul-07-2021_0930
1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.32,0.132,0.17,0.138,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.5519999999999,83,119278,420000,jul-07-2021_0930
2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.24,0.68,0.048,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,9.166,931.7904440000001,172.8599999999999,76,225097,999999,jul-07-2021_0930
3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.28,0.094,0.166,0.162,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03200000000004,64,26920,145000,jul-07-2021_0930
4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,8.906,931.3171639999998,142.6880000000001,67,138712,999999,jul-07-2021_0931
5,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.188,0.218,0.2,0.19,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,9.886,877.4490040000001,122.23599999999999,77,312339,999999,jul-07-2021_0932
6,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.126,0.496,0.05,0.17,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,12.324,1049.699024,131.91200000000003,86,260308,999999,jul-07-2021_0932
7,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.006,0.722,0.0,0.148,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,19.448,918.1552960000001,89.67600000000004,62,261654,999999,jul-07-2021_0933
8,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.758,0.112,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,9.296,924.424384,130.88400000000001,69,282410,999999,jul-07-2021_0934
9,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.09,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642,19.598,980.1923959999999,122.24000000000001,81,119643,999999,jul-07-2021_0934
10,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.196,0.19,0.23,0.194,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562,17.59,1001.9779000000001,84.05999999999995,63,158862,999999,jul-07-2021_0935
11,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.17,0.184,0.126,0.418,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,100.692,100.69200000000001,75,72868,725000,jul-07-2021_0935
12,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.094,0.272,0.028,0.546,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966,28.954,219.195884,93.05999999999995,62,158295,999999,jul-07-2021_0935
13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.28,0.42,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,135.704,135.70399999999995,72,57163,750000,jul-07-2021_0936
14,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,111.868,111.86800000000005,67,51788,805000,jul-07-2021_0936
15,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.154,0.212,0.188,0.206,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,114.072,114.072,73,62751,510000,jul-07-2021_0936
16,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.274,0.158,0.098,0.184,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,125.656,125.65599999999995,67,74832,805000,jul-07-2021_0937
17,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.124,0.49,0.054,0.158,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,113.928,113.928,64,47150,610000,jul-07-2021_0937
18,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.06,0.116,0.258,0.106,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,115.088,115.08799999999997,71,32789,380000,jul-07-2021_0937
19,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,97.0,97.0,67,41704,650000,jul-07-2021_0937
20,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.2,0.188,0.186,0.202,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,120.756,120.75599999999997,75,25014,245000,jul-07-2021_0937
21,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.196,0.176,0.174,0.278,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,124.416,124.41599999999994,85,29888,285000,jul-07-2021_0938
22,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.332,0.28,0.114,0.084,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,135.464,135.46399999999994,87,22686,175000,jul-07-2021_0938
23,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.484,0.176,0.184,0.046,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,169.524,169.5239999999999,81,22265,285000,jul-07-2021_0938
24,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,120.456,120.45600000000002,69,32506,720000,jul-07-2021_0938
25,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.192,0.21,0.214,0.176,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,27.576,1170.044224,667.3720000000001,79,32808,999999,jul-07-2021_0939
26,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.009999999776482582,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.642,0.018,0.034,0.148,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,29.5,976.782,872.556,87,15324,999999,jul-07-2021_0939
27,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.029999999329447746,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.046,0.87,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492,29.492,1000.981936,899.108,88,13484,999999,jul-07-2021_0939
