,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.24,0.454,0.0,0.048,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,113.504,113.50400000000002,61,31526,375000,Jul-06-2021_1842
1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.014,0.114,0.156,0.46,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,88.972,88.97199999999998,65,33767,530000,Jul-06-2021_1842
2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.302,0.136,0.318,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,23.598,687.3803959999999,70.32000000000005,63,158623,999999,Jul-06-2021_1843
3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.39,0.202,0.024,0.324,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,142.66,142.66000000000008,77,47307,435000,Jul-06-2021_1843
4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.758,0.0,0.022,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,104.648,104.64800000000002,69,112378,980000,Jul-06-2021_1843
5,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.364,0.28,0.156,0.166,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,126.672,126.67200000000003,89,73570,420000,Jul-06-2021_1844
6,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.26,0.122,0.206,0.362,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,79.872,79.87199999999996,64,22500,235000,Jul-06-2021_1844
7,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.014,0.154,0.0,0.798,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,97.612,97.61199999999997,80,37820,505000,Jul-06-2021_1844
8,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.14,0.33,0.0,0.472,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,88.072,88.072,73,92914,625000,Jul-06-2021_1844
9,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.072,0.41,0.036,0.448,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,102.072,102.072,71,66957,575000,Jul-06-2021_1845
10,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.326,0.604,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,169.3,169.29999999999995,89,59289,450000,Jul-06-2021_1845
11,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.59,0.352,0.048,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,174.376,174.37599999999998,111,63220,745000,Jul-06-2021_1845
12,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.71,0.134,0.108,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,87.32,87.32000000000005,63,81632,580000,Jul-06-2021_1846
13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,1000000,0.004999999888241291,30,True,-1.0,2.0,0.0,0.29,0.518,0.06,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,14.378,985.955116,62.17999999999995,53,84658,999999,Jul-06-2021_1846
