,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,39.104,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2.  4.  2.
  8.  3.  9. 17. 12. 16. 23. 19. 17. 32. 31. 42. 34. 30. 29. 39. 21. 17.
 14. 19. 14.  9.  8.  5.  6.  4.  2.  6.  3.  1.]",39.10400000000004,47,18505,160000,Aug-23-2021_1910
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,34.672,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  2.  0.  1.  1.
  6.  8.  7.  9. 12. 21. 21. 24. 18. 29. 26. 30. 37. 43. 26. 38. 33. 31.
 17. 11. 14.  7.  9.  5.  5.  1.  1.  0.  1.  1.  1.  0.  0.  0.  1.]",34.672000000000025,52,12676,130000,Aug-23-2021_1910
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,22.344,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
  1.  4.  4.  7. 10. 19. 20. 22. 24. 33. 41. 37. 46. 32. 45. 39. 28. 29.
 18. 18.  5.  4.  2.  6.  2.  1.  1.]",22.34400000000005,44,7294,90000,Aug-23-2021_1910
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.998,29.997,24.154491,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.
  4.  1.  3.  5.  9. 20. 23. 12. 34. 32. 47. 31. 38. 36. 35. 43. 37. 31.
 19. 12.  9.  3.  4.  3.  4.  1.]",24.02800000000002,43,8237,499999,Aug-23-2021_1910
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.998,29.998,21.561996,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  4.  1.  6.  7.  3. 13. 22. 27. 24. 25. 43. 52. 40. 41. 37. 42. 32. 26.
 20. 13.  9.  7.  2.  1.  0.  2.]",21.44399999999996,43,7210,499999,Aug-23-2021_1910
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,33.72,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  3.
  4.  4. 10. 14. 14. 13. 20. 30. 25. 24. 41. 40. 34. 26. 35. 26. 22. 23.
 18. 20. 16. 11.  8.  4.  3.  4.  1.  3.  1.  0.  0.  1.]",33.72000000000003,49,12188,115000,Aug-23-2021_1910
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,43.42,"[ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  2.  1.  2.  1.  5.
  4. 10. 14. 10. 13. 16. 18. 23. 18. 27. 35. 27. 40. 30. 34. 30. 23. 22.
 18. 17. 12. 10.  7.  4.  7.  4.  3.  5.  2.  0.  3.  0.  0.  0.  1.]",43.41999999999996,52,22281,175000,Aug-23-2021_1910
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.998,29.997,25.380491000000003,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  3.  6.  8.  6. 11. 14. 15. 21. 26. 32. 42. 31. 46. 39. 37. 36. 33. 30.
 23. 14. 13.  5.  1.  3.  1.  1.  0.  0.  0.  0.  0.  0.  0.  1.]",25.312000000000012,51,7719,499999,Aug-23-2021_1911
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,500,500000,0.005,30,True,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.998,29.998,29.934995999999998,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  2.  0.
  4.  4.  8.  9. 12.  9. 29. 17. 24. 35. 39. 37. 29. 36. 41. 22. 39. 20.
 26. 18. 14.  5. 10.  2.  3.  2.  0.  0.  1.]",29.851999999999975,46,11782,499999,Aug-23-2021_1911
