,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,29.994,51.45396399999999,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  3.  3.  5.  4.  3.
  8.  9.  5. 11. 18. 17. 11. 31. 26. 16. 26. 39. 35. 34. 23. 18. 27. 15.
 17. 24. 12.  9. 12.  9.  9.  8.  3.  2.  1.  0.  3.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  1.]",51.27999999999997,58,11987,999999,ago-26-2021_0049
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,-0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,26.124,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  0.  1.
  0.  5.  8.  9.  8. 15. 21. 17. 25. 39. 46. 44. 44. 30. 28. 31. 29. 23.
 22. 13. 15.  8.  8.  2.  2.  2.  0.  1.  1.]",26.124000000000024,46,6607,80000,ago-26-2021_0049
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,-0.33333333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,25.876,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
  1.  5.  9. 10. 12.  9. 22. 20. 34. 39. 35. 35. 35. 35. 44. 31. 25. 27.
 19. 11. 13. 14.  5.  2.  2.  2.  1.  1.]",25.875999999999976,45,6275,100000,ago-26-2021_0049
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,29.992,31.639936000000002,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2.
  2.  2.  8. 12.  9. 21. 23. 18. 31. 37. 36. 33. 36. 41. 28. 24. 24. 29.
 17. 17. 17.  9.  5.  6.  4.  1.  1.  1.  1.  2.]",31.399999999999977,47,8173,999999,ago-26-2021_0049
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,0.33333333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,29.996666666666663,28.060211111111112,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
  2.  6.  6.  6. 13. 16. 24. 21. 18. 37. 46. 41. 43. 27. 30. 29. 25. 31.
 19. 13. 20. 11.  8.  0.  2.  0.  2.  0.  1.]",27.936000000000035,46,7751,999999,ago-26-2021_0049
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,0.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,12.456,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  2.  2.  4.  6. 14. 25. 39. 27. 48. 52. 41. 59. 56. 46. 30. 19.
 15. 10.  3.  1.]",12.456000000000017,39,3470,80000,ago-26-2021_0049
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,13.632,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  3.  4.  7.  8. 14. 26. 27. 26. 40. 50. 66. 42. 58. 58. 22. 22.
  9.  8.  4.  2.  2.  1.]",13.631999999999948,41,3493,80000,ago-26-2021_0049
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.3333333333333333,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,29.994666666666664,133.3941937777778,"[ 0.  1.  1.  1.  0.  2.  2.  1.  5.  3.  2.  4.  6.  5.  8.  4. 10.  8.
 15. 10. 13.  8. 16. 14. 21. 22. 18. 14. 14. 27. 18. 28. 16. 17.  6. 14.
 17. 15.  8. 12.  7.  9.  7.  9.  8.  6.  5.  9.  2.  2.  3.  2.  3.  6.
  1.  2.  2.  2.  1.  1.  3.  0.  0.  0.  0.  1.  0.  3.]",133.5239999999999,67,28740,999999,ago-26-2021_0049
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.3333333333333333,-0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,12.152,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  3.  1.  9. 10.  8. 13. 31. 28. 47. 71. 52. 66. 39. 40. 34. 18.
 18.  7.  3.  1.]",12.152000000000044,39,3369,90000,ago-26-2021_0049
