,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,-0.128,4.143616,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  3.  0. 10.  8.
  8.  6. 14. 14. 20. 16. 22. 18. 25. 26. 29. 20. 30. 16. 27. 20. 27. 16.
 20. 16. 18. 16. 10.  9.  9.  8.  4.  5.  4.  1.  2.  1.]",55.50800000000004,49,320660,999999,ago-26-2021_1801
1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,-0.6666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,29.706666666666667,22.945955555555553,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  2.  4.  3.  4.  9.  8. 20. 31. 25. 29. 37. 46. 61. 42. 31. 36. 34. 33.
 10. 12. 11.  3.  6.  0.  0.  1.  0.  1.]",19.436000000000035,45,17178,999999,ago-26-2021_1802
2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,-0.33333333333333337,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,29.744,21.456686222222228,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  3.  1.  5.  7. 12. 12. 18. 31. 52. 55. 44. 46. 45. 30. 40. 23. 24.
 13. 18.  5.  8.  4.  0.  1.  0.  0.  1.  1.]",17.988000000000056,46,13758,999999,ago-26-2021_1802
3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,29.004,31.647983999999997,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  9.  9. 15. 12. 29. 25. 36. 33. 58. 40. 45. 52. 42. 30. 18.
 20. 10.  5.  8.  2.  1.]",16.583999999999946,41,11162,999999,ago-26-2021_1802
4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,0.33333333333333326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,14.596,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  2.  1.  1.  5.  8. 13. 18. 35. 46. 44. 64. 49. 45. 44. 42. 27. 15.
 17.  6.  7.  4.  1.  3.  1.  0.  1.]",14.596000000000004,44,6994,100000,ago-26-2021_1802
5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,0.6666666666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,29.817333333333337,22.326632888888888,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  3.  0.  5.  5.  8.  9. 16. 26. 30. 44. 48. 40. 38. 43. 48. 33. 28. 16.
 24. 12. 11.  8.  3.  1.  0.  1.]",18.79600000000005,43,13837,999999,ago-26-2021_1802
6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,29.932,19.435375999999998,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  1.  1.  1.  6.  9.  9. 19. 17. 30. 40. 55. 46. 50. 41. 37. 30. 30. 23.
 25. 12.  8.  5.  1.  0.  1.  1.  1.]",17.672000000000025,44,12834,999999,ago-26-2021_1802
7,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.3333333333333333,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  3.  2.  6.
  4.  7. 11. 12. 14. 12. 18. 32. 22. 30. 23. 37. 26. 33. 36. 22. 28. 28.
 22. 19. 11. 12.  7.  6.  2.  4.  7.  1.  1.  0.  1.]",38.648000000000025,48,17953,70000,ago-26-2021_1802
8,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,500,1000000,0.005,30,True,0.3333333333333333,-0.6666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  3.
  5.  3. 10. 13. 12. 17. 18. 27. 31. 28. 25. 31. 34. 44. 37. 37. 28. 13.
 13. 17. 11. 11.  5.  5.  4.  3.  5.  1.  2.  1.  0.  0.  1.  0.  1.]",35.36800000000005,52,15182,60000,ago-26-2021_1802
