,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.218,0.0,0.0,0.0,0.0,0.188,0.168,0.194,0.232,0.0,0.0,0.0,0.0,0.512,15.368,897.404576,0.02800000000002001,31,6,29,Jul-06-2021_2247
1,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.198,0.0,0.0,0.0,0.0,0.204,0.204,0.172,0.222,0.0,0.0,0.0,0.0,0.486,14.58,906.2515999999998,0.008000000000038199,31,2,29,Jul-06-2021_2247
2,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.222,0.0,0.0,0.0,0.0,0.174,0.17,0.248,0.186,0.0,0.0,0.0,0.0,0.468,14.044,906.978064,0.011999999999943611,31,3,29,Jul-06-2021_2247
3,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.212,0.202,0.182,0.204,0.0,0.0,0.0,0.0,0.486,14.58,909.0355999999999,0.0,30,0,29,Jul-06-2021_2247
4,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.5,500,30,0.004999999888241291,30,False,-1.0,2.0,0.21,0.0,0.0,0.0,0.0,0.244,0.17,0.18,0.196,0.0,0.0,0.0,0.0,0.49,14.7,913.546,0.008000000000038199,31,2,29,Jul-06-2021_2247
5,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.198,0.0,0.0,0.0,0.0,0.228,0.182,0.178,0.214,0.0,0.0,0.0,0.0,0.506,15.184,900.126144,0.008000000000038199,31,2,29,Jul-06-2021_2247
6,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.214,0.0,0.0,0.0,0.0,0.198,0.21,0.196,0.182,0.0,0.0,0.0,0.0,0.554,16.626,896.0061240000001,0.01599999999996271,31,4,29,Jul-06-2021_2247
7,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.192,0.0,0.0,0.0,0.0,0.216,0.184,0.208,0.2,0.0,0.0,0.0,0.0,0.55,16.504,895.085984,0.011999999999943611,31,3,29,Jul-06-2021_2247
8,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.164,0.0,0.0,0.0,0.0,0.228,0.196,0.186,0.226,0.0,0.0,0.0,0.0,0.48,14.414,910.7746040000001,0.03200000000003911,31,8,29,Jul-06-2021_2247
