,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.192,0.2,0.196,0.2,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,14.102,885.6995959999999,0.004000000000019099,31,1,29,Jul-06-2021_2303
1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.21,0.174,0.216,0.21,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,15.182,904.6768759999999,0.02400000000000091,31,6,29,Jul-06-2021_2303
2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.212,0.192,0.166,0.21,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,14.824,909.801024,0.03200000000003911,31,8,29,Jul-06-2021_2303
3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.198,0.21,0.22,0.172,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,15.544,917.272064,0.011999999999943611,31,3,29,Jul-06-2021_2303
4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,30,0.004999999888241291,30,False,-1.0,2.0,0.196,0.208,0.182,0.206,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,15.722,900.672716,0.004000000000019099,31,1,29,Jul-06-2021_2303
5,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.168,0.204,0.232,0.194,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,15.062,901.142156,0.011999999999943611,31,3,29,Jul-06-2021_2303
6,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.2,0.232,0.204,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,15.126,892.626124,0.02400000000000091,31,6,29,Jul-06-2021_2303
7,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.206,0.178,0.188,0.21,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,15.902,909.3563959999999,0.01599999999996271,31,4,29,Jul-06-2021_2303
8,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.206,0.212,0.222,0.16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,14.944,896.8288640000001,0.01599999999996271,31,4,29,Jul-06-2021_2303
