,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5,0.5,500,1,-1.0,2.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.182,0.224,0.222,0.502,15.06,910.7443999999999,0.0,30,0,0,Jun-27-2021_1144
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5,1.0,500,1,-1.0,2.0,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.194,0.176,0.214,0.472,14.16,893.7024,0.0,30,0,0,Jun-27-2021_1144
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5,2.0,500,1,-1.0,2.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.178,0.208,0.212,0.496,14.88,906.3136000000001,0.0,30,0,0,Jun-27-2021_1144
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5,3.0,500,1,-1.0,2.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.184,0.184,0.2,0.502,15.06,928.8084,0.0,30,0,0,Jun-27-2021_1144
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.5,500,1,-1.0,2.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.204,0.21,0.188,0.496,14.88,913.3856,0.0,30,0,0,Jun-27-2021_1144
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,1.0,500,1,-1.0,2.0,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.196,0.224,0.48,14.4,907.948,0.0,30,0,0,Jun-27-2021_1144
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,2.0,500,1,-1.0,2.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.256,0.2,0.16,0.508,15.24,896.0583999999999,0.0,30,0,0,Jun-27-2021_1144
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,3.0,500,1,-1.0,2.0,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.18,0.23,0.174,0.492,14.76,937.9304,0.0,30,0,0,Jun-27-2021_1144
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,2.0,0.5,500,1,-1.0,2.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.176,0.186,0.222,0.468,14.04,921.6263999999999,0.0,30,0,0,Jun-27-2021_1144
9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,2.0,1.0,500,1,-1.0,2.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21,0.182,0.218,0.506,15.18,916.1196,0.0,30,0,0,Jun-27-2021_1144
