,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.17,0.0,0.0,0.0,0.0,0.214,0.222,0.202,0.192,0.0,0.0,0.0,0.0,0.506,15.182,916.652876,0.011999999999943611,31,3,29,Jul-06-2021_2303
1,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.208,0.0,0.0,0.0,0.0,0.2,0.204,0.202,0.186,0.0,0.0,0.0,0.0,0.492,14.762,921.001356,0.01999999999998181,31,5,29,Jul-06-2021_2303
2,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.204,0.0,0.0,0.0,0.0,0.198,0.2,0.174,0.224,0.0,0.0,0.0,0.0,0.516,15.48,907.2096,0.011999999999943611,31,3,29,Jul-06-2021_2303
3,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.204,0.204,0.19,0.202,0.0,0.0,0.0,0.0,0.498,14.946,905.927084,0.011999999999943611,31,3,29,Jul-06-2021_2303
4,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.5,500,30,0.004999999888241291,30,False,-1.0,2.0,0.204,0.0,0.0,0.0,0.0,0.226,0.196,0.172,0.202,0.0,0.0,0.0,0.0,0.496,14.884,904.6065439999999,0.008000000000038199,31,2,29,Jul-06-2021_2303
5,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.176,0.0,0.0,0.0,0.0,0.184,0.21,0.214,0.216,0.0,0.0,0.0,0.0,0.522,15.662,911.4877560000001,0.01599999999996271,31,4,29,Jul-06-2021_2303
6,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.212,0.0,0.0,0.0,0.0,0.19,0.176,0.18,0.242,0.0,0.0,0.0,0.0,0.482,14.462,925.692556,0.02400000000000091,31,6,29,Jul-06-2021_2303
7,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.186,0.0,0.0,0.0,0.0,0.182,0.212,0.22,0.2,0.0,0.0,0.0,0.0,0.514,15.424,922.7442239999999,0.01999999999998181,31,5,29,Jul-06-2021_2303
8,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.214,0.0,0.0,0.0,0.0,0.192,0.208,0.186,0.2,0.0,0.0,0.0,0.0,0.466,13.986,900.273804,0.02800000000002001,32,6,29,Jul-06-2021_2303
