,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.198,0.184,0.186,0.226,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,16.386,908.241004,0.02400000000000091,31,6,29,Jul-06-2021_2302
1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.19,0.182,0.23,0.204,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,14.648,911.652096,0.02400000000000091,31,6,29,Jul-06-2021_2302
2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.212,0.216,0.19,0.188,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,14.944,895.2448639999999,0.011999999999943611,31,3,29,Jul-06-2021_2302
3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.202,0.22,0.172,0.218,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.002,908.2139960000001,0.03200000000003911,31,8,29,Jul-06-2021_2302
4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,30,0.004999999888241291,30,False,-1.0,2.0,0.208,0.2,0.21,0.184,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,15.242,910.423436,0.004000000000019099,31,1,29,Jul-06-2021_2302
5,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.196,0.19,0.228,0.19,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,14.83,901.2091000000001,0.02800000000002001,31,7,29,Jul-06-2021_2302
6,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.192,0.222,0.192,0.212,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,14.044,910.930064,0.03200000000003911,31,8,29,Jul-06-2021_2302
7,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.192,0.174,0.202,0.24,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,14.35,899.3435,0.02800000000002001,31,7,29,Jul-06-2021_2302
8,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.202,0.198,0.218,0.198,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,15.668,912.1457760000001,0.02400000000000091,31,6,29,Jul-06-2021_2302
9,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,500,30,0.004999999888241291,30,False,-1.0,2.0,0.198,0.198,0.216,0.18,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,14.942,902.774636,0.01599999999996271,31,4,29,Jul-06-2021_2302
10,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,500,30,0.004999999888241291,30,False,-1.0,2.0,0.194,0.188,0.204,0.182,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,14.52,925.6336000000001,0.01999999999998181,31,5,29,Jul-06-2021_2302
11,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.009999999776482582,500,30,0.004999999888241291,30,False,-1.0,2.0,0.206,0.204,0.196,0.18,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,14.888,906.407456,0.03200000000003911,31,8,29,Jul-06-2021_2302
12,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.029999999329447746,500,30,0.004999999888241291,30,False,-1.0,2.0,0.182,0.2,0.21,0.228,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,14.47,914.2291000000001,0.04399999999998272,31,11,29,Jul-06-2021_2302
13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.10000000149011612,500,30,0.004999999888241291,30,False,-1.0,2.0,0.198,0.194,0.222,0.208,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,14.344,909.7216640000001,0.02800000000002001,31,7,29,Jul-06-2021_2302
14,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,500,30,0.004999999888241291,30,False,-1.0,2.0,0.21,0.21,0.186,0.174,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,15.662,900.1797559999999,0.011999999999943611,31,3,29,Jul-06-2021_2302
