,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,1,-1.0,2.0,0.186,0.194,0.19,0.202,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,15.3,911.826,0.0,30,0,0,Jun-27-2021_1144
1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,500,1,-1.0,2.0,0.194,0.198,0.184,0.196,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,14.22,895.5076,0.0,30,0,0,Jun-27-2021_1144
2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,500,1,-1.0,2.0,0.216,0.208,0.17,0.192,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,13.14,908.5844000000001,0.0,30,0,0,Jun-27-2021_1144
3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,500,1,-1.0,2.0,0.202,0.21,0.202,0.202,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,15.42,905.4795999999999,0.0,30,0,0,Jun-27-2021_1144
4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,500,1,-1.0,2.0,0.192,0.172,0.19,0.222,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,16.08,911.5576,0.0,30,0,0,Jun-27-2021_1144
5,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,500,1,-1.0,2.0,0.182,0.2,0.2,0.214,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,15.66,910.7803999999999,0.0,30,0,0,Jun-27-2021_1144
6,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,500,1,-1.0,2.0,0.202,0.218,0.2,0.198,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,13.68,898.8936,0.0,30,0,0,Jun-27-2021_1144
7,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,500,1,-1.0,2.0,0.186,0.226,0.208,0.172,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,14.04,906.4264,0.004000000000019099,31,1,0,Jun-27-2021_1144
8,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,500,1,-1.0,2.0,0.198,0.208,0.22,0.176,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,15.72,887.8776,0.0,30,0,0,Jun-27-2021_1144
9,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,500,1,-1.0,2.0,0.216,0.204,0.218,0.178,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,13.74,895.5804000000002,0.0,30,0,0,Jun-27-2021_1144
10,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,500,1,-1.0,2.0,0.222,0.204,0.15,0.2,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534,16.02,893.2796,0.0,30,0,0,Jun-27-2021_1144
11,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,500,1,-1.0,2.0,0.2,0.188,0.202,0.188,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,14.222,913.872716,0.004000000000019099,31,1,0,Jun-27-2021_1144
12,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,500,1,-1.0,2.0,0.204,0.194,0.204,0.21,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554,16.622,902.8151159999999,0.004000000000019099,31,1,0,Jun-27-2021_1144
13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,500,1,-1.0,2.0,0.202,0.204,0.18,0.178,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,15.42,894.2916000000001,0.0,30,0,0,Jun-27-2021_1144
14,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,500,1,-1.0,2.0,0.192,0.21,0.2,0.194,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,15.6,891.932,0.0,30,0,0,Jun-27-2021_1144
15,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,500,1,-1.0,2.0,0.2,0.222,0.198,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,15.062,916.562156,0.004000000000019099,31,1,0,Jun-27-2021_1144
16,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.5,500,1,-1.0,2.0,0.2,0.222,0.192,0.174,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,15.12,923.2496,0.0,30,0,0,Jun-27-2021_1144
17,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,500,1,-1.0,2.0,0.176,0.18,0.232,0.174,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,12.42,872.2276,0.0,30,0,0,Jun-27-2021_1144
18,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,2.0,500,1,-1.0,2.0,0.186,0.206,0.216,0.212,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,14.64,898.6983999999999,0.0,30,0,0,Jun-27-2021_1144
19,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,3.0,500,1,-1.0,2.0,0.194,0.218,0.164,0.226,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,15.54,904.9324000000001,0.0,30,0,0,Jun-27-2021_1144
